DIM_GEOGRAPHY_KEY,LATITUDE,LONGITUDE,ISO2_CODE,ISO3_CODE,COUNTRY,ADMIN_REGION,ISO_SUB_DIVISION,ADMIN_REGION_2,RECID
-15.9651_-5.70684,-15.9651,-5.70684,,,"""Saint Helena"," Ascension and Tristan da Cunha""",,,1
33.83114_66.02471,33.83114,66.02471,AF,AFG,Afghanistan,,,,2
41.13929_20.06431,41.13929,20.06431,AL,ALB,Albania,,,,3
28.15509_2.67875,28.15509,2.67875,DZ,DZA,Algeria,,,,4
-14.30069_-170.7181,-14.30069,-170.7181,AS,ASM,American Samoa,,,,5
42.5453_1.57629,42.5453,1.57629,AD,AND,Andorra,,,,6
-12.33292_17.57284,-12.33292,17.57284,AO,AGO,Angola,,,,7
18.21482_-63.0547,18.21482,-63.0547,AI,AIA,Anguilla,,,,8
-80.20264_28.70341,-80.20264,28.70341,AQ,ATA,Antarctica,,,,9
17.07767_-61.79871,17.07767,-61.79871,AG,ATG,Antigua and Barbuda,,,,10
-27.80532_-64.26122,-27.80532,-64.26122,AR,ARG,Argentina,Santiago del Estero,AR-G,,24
-27.34156_-66.94754,-27.34156,-66.94754,AR,ARG,Argentina,Catamarca,AR-K,,23
-27.47178_-58.84017,-27.47178,-58.84017,AR,ARG,Argentina,Corrientes,AR-W,,31
-26.38626_-60.76559,-26.38626,-60.76559,AR,ARG,Argentina,Chaco,AR-H,,28
-26.87498_-54.65082,-26.87498,-54.65082,AR,ARG,Argentina,Misiones,AR-N,,34
-26.94703_-65.3654,-26.94703,-65.3654,AR,ARG,Argentina,Tucuman,,,20
-28.46883_-67.6901,-28.46883,-67.6901,AR,ARG,Argentina,La Rioja,AR-F,,26
-29.68154_-67.17717,-29.68154,-67.17717,AR,ARG,Argentina,La Rioja,AR-F,,25
-24.18813_-65.29604,-24.18813,-65.29604,AR,ARG,Argentina,Jujuy,AR-Y,,19
-24.78864_-65.41022,-24.78864,-65.41022,AR,ARG,Argentina,Salta,AR-A,,16
-24.89491_-59.9325,-24.89491,-59.9325,AR,ARG,Argentina,Formosa,AR-P,,21
-34.60849_-58.37344,-34.60849,-58.37344,AR,ARG,Argentina,City of Buenos Aires,,,27
-34.61459_-58.44583,-34.61459,-58.44583,AR,ARG,Argentina,City of Buenos Aires,,,22
-35.18115_-65.09386,-35.18115,-65.09386,AR,ARG,Argentina,,,,35
-30.86179_-68.88118,-30.86179,-68.88118,AR,ARG,Argentina,San Juan,AR-J,,18
-30.93488_-64.28046,-30.93488,-64.28046,AR,ARG,Argentina,Cordoba,,,36
-31.63665_-60.71203,-31.63665,-60.71203,AR,ARG,Argentina,Santa Fe,AR-S,,29
-32.0573_-59.20301,-32.0573,-59.20301,AR,ARG,Argentina,Entre Rios,,,13
-32.14068_-63.80113,-32.14068,-63.80113,AR,ARG,Argentina,Cordoba,,,17
-32.89035_-68.84332,-32.89035,-68.84332,AR,ARG,Argentina,Mendoza,AR-M,,12
-33.3022_-66.33759,-33.3022,-66.33759,AR,ARG,Argentina,San Luis,AR-D,,33
-43.79044_-68.52538,-43.79044,-68.52538,AR,ARG,Argentina,Chubut,AR-U,,37
-40.40715_-67.22718,-40.40715,-67.22718,AR,ARG,Argentina,Rio Negro,,,14
-38.95127_-68.06074,-38.95127,-68.06074,AR,ARG,Argentina,Neuquen,,,32
-36.6753_-60.55758,-36.6753,-60.55758,AR,ARG,Argentina,Buenos Aires,AR-B,,15
-38.64054_-70.11623,-38.64054,-70.11623,AR,ARG,Argentina,Neuquen,,,11
-54.362_-67.638,-54.362,-67.638,AR,ARG,Argentina,"""Tierra del Fuego"," Antarctica"," and South Atlantic Islands""",30
40.29264_44.93948,40.29264,44.93948,AM,ARM,Armenia,,,,38
